,feature
908,KEYBOARD_OPENCORES
909,HID_ZEROPLUS
910,TRACE_IRQFLAGS
911,DRM_PANEL_SEIKO_43WVF1G
912,XFRM_ESP
913,VSOCKETS_LOOPBACK
914,ACPI_NFIT
915,MLX5_EN_IPSEC
916,EXFAT_FS
917,MFD_CROS_EC
918,ACPI_VIDEO
919,SND_SOC_WM8782
920,PCI_STUB
921,AMD_MEM_ENCRYPT_ACTIVE_BY_DEFAULT
922,EDAC_I5000
923,IPV6_NDISC_NODETYPE
924,HID_MCP2221
925,SENSORS_LM93
926,INTEL_SCU
927,GLOB
928,ATA_FORCE
929,RCU_TRACE
930,NLS_CODEPAGE_852
931,PATA_HPT366
932,NTFS_RW
933,LKDTM
934,HTS221_SPI
935,DYNAMIC_DEBUG_CORE
936,MFD_TPS65912
937,GPIO_AMD8111
938,FUSE_FS
939,MDIO_BCM_UNIMAC
940,CMA
941,WDTPCI
942,CRYPTO_CRC32
943,IOSF_MBI
944,SERIAL_8250_DETECT_IRQ
945,EXTCON_MAX77843
946,LEDS_TRIGGER_AUDIO
947,EXT2_FS
948,MISC_RTSX
949,MEMORY_BALLOON
950,IO_URING
951,SENSORS_I5500
952,DCB
953,USB_M66592
954,NLS_ISO8859_4
955,BLK_DEV_AMD74XX
956,NET_CLS_FW
957,DRM_I915_SELFTEST
958,I2C_MUX
959,TIPC
960,ADIN_PHY
961,GAMEPORT_FM801
962,FB_MATROX
963,GLOB_SELFTEST
964,QUOTA_NETLINK_INTERFACE
965,SND_PCM_IEC958
966,COUNTER
967,NET_SCH_PIE
968,RMI4_CORE
969,SND_X86
970,DELL_SMBIOS_WMI
971,USB_EHSET_TEST_FIXTURE
972,HID_MULTITOUCH
973,DEBUG_RT_MUTEXES
974,MCP320X
975,BACKLIGHT_88PM860X
976,PSTORE_LZ4HC_COMPRESS_DEFAULT
977,WLAN_VENDOR_QUANTENNA
978,OSF_PARTITION
979,NETFILTER
980,X86_POWERNOW_K8
981,NET_DSA_SMSC_LAN9303
982,CRYPTO_LIB_POLY1305
983,EBC_C384_WDT
984,MEDIA_CONTROLLER
985,SCHED_AUTOGROUP
986,ORANGEFS_FS
987,NVME_TARGET_FC
988,HID_TOPSEED
989,HID_PICOLCD_CIR
990,EXPERT
991,HID_ELAN
992,IP_VS_NQ
993,VIDEO_CAFE_CCIC
994,FB_CARMINE
995,FIREWIRE_NET
996,RMI4_I2C
997,UACCE
998,I2C_MUX_LTC4306
999,SENSORS_RM3100_SPI
1000,BCM87XX_PHY
1001,USB_G_MULTI_RNDIS
1002,VGASTATE
1003,NLS_MAC_CELTIC
1004,ETHERNET
1005,HID_DRAGONRISE
1006,DEBUG_SG
1007,DEBUG_TIMEKEEPING
1008,XILINX_VCU
1009,ALTERA_PR_IP_CORE
1010,CHARLCD
1011,DRM_GM12U320
1012,IP_PNP
1013,FB_MB862XX_I2C
1014,FB_VIRTUAL
1015,HAVE_SCHED_AVG_IRQ
1016,PM_SLEEP_SMP
