,feature
860,PHY_MTK_TPHY
861,BLK_DEV_SX8
862,WLAN_VENDOR_BROADCOM
863,6LOWPAN_NHC_ROUTING
864,SCHED_MC
865,I2C_MUX_REG
866,SND_SOC_WM8510
867,SERIAL_CORE_CONSOLE
868,VIDEO_XILINX
869,SERIAL_HS_LPC32XX
870,SERIAL_FSL_LPUART
871,PHANTOM
872,ZONEFS_FS
873,SND_SOC_LOCHNAGAR_SC
874,AMD8111_ETH
875,CRYPTO_DRBG_HASH
876,CPU_FREQ_DEFAULT_GOV_SCHEDUTIL
877,KMX61
878,QUOTA_DEBUG
879,NILFS2_FS
880,EARLY_PRINTK_USB
881,IOSF_MBI
882,TEST_STRSCPY
883,FPGA_DFL
884,MTD_BLOCK2MTD
885,MEDIA_TUNER_TEA5761
886,RANDOM32_SELFTEST
887,HMS_PROFINET
888,NET_NSH
889,MCP3422
890,GREYBUS_AUDIO
891,DRM_NWL_MIPI_DSI
892,REGULATOR_LP8788
893,USB_NET2272
894,SYSTEM_EXTRA_CERTIFICATE
895,TMPFS_POSIX_ACL
896,RADIO_WL1273
897,RTC_DRV_RS5C372
898,FAIL_IO_TIMEOUT
899,NET_CLS_RSVP6
900,STMP_DEVICE
901,SND_SOC_RT5682_SDW
902,PCSPKR_PLATFORM
903,USB_G_SERIAL
904,MISC_RTSX_PCI
905,USB_CYTHERM
906,MCP41010
907,NET_SCH_HTB
908,VIDEO_ATOMISP_OV2722
909,IP_SET_HASH_NET
910,AMD_MEM_ENCRYPT_ACTIVE_BY_DEFAULT
911,LIBCRC32C
912,I2C
913,DRM_PANEL_LG_LB035Q02
914,SND_SOC_WM8903
915,DVB_TDA8083
916,DRM_TI_TPD12S015
917,ARCH_RANDOM
918,SERIAL_SPRD_CONSOLE
919,VIDEO_MEDIATEK_JPEG
920,SENSORS_MAX16064
921,FB_MATROX_MYSTIQUE
922,SND_MESON_CARD_UTILS
923,INPUT_RK805_PWRKEY
924,SYSTEM_DATA_VERIFICATION
925,SND_SOC_PCM1789_I2C
926,USB_ULPI_BUS
927,DVB_ZL10353
928,PNPACPI
929,I2C_I801
930,SND_SOC_RT5682
931,USB_STORAGE_ENE_UB6250
932,GPIO_104_IDI_48
933,SND_MESON_G12A_TOHDMITX
934,XFRM_MIGRATE
935,HID_SENSOR_HUB
936,USB_ATM
937,HID_GENERIC
938,IRQ_POLL
939,TWL4030_WATCHDOG
940,MIC_COSM
941,PCIE_CADENCE
942,NET_SCH_PIE
943,NOZOMI
944,NET_RX_BUSY_POLL
945,XEN_ACPI
946,MLX4_INFINIBAND
947,MTD_PHYSMAP_GPIO_ADDR
948,NOP_USB_XCEIV
949,TOUCHSCREEN_EXC3000
950,LTR501
951,CAVIUM_PTP
952,INPUT_SPARSEKMAP
953,USBIP_VHCI_HCD
954,F2FS_FS
955,LOCK_STAT
956,PARPORT_PC
957,USB_NET_CDC_MBIM
958,BT_HCIUART
959,INFINIBAND_I40IW
960,ATH10K_CE
961,PINCTRL_SAMSUNG
962,FB_VIA
963,SENSORS_DME1737
964,DRM_PANEL_TPO_TD043MTEA1
965,BATMAN_ADV
966,MEDIA_TUNER_SIMPLE
